products,product_url,product_name,overall_rate,cat,cat_1,cat_2,cat_3,favorite,date,timing,num_like,review_stars,comment
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-02-09,21:51,0,4,สินค้าจัดส่งไวราคาย่อมเยาแถมได้โค้ดส่งฟรีลดไป 30 บาท เสียค่าส่งแค่ 7 บาทคุ้มค่าคุ้มราคาครับตอนแรกตัวล็อกหักแจ้งทางร้านค้าไปทางร้านเปลี่ยนตัวให้ใหม่ดีมากครับรับผิดชอบดีครับแนะนำครับร้านนี้
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-01-10,21:05,1,4,ได้ของเร็วดีแต่ว่ามีบุบไปจุดนึง คิดว่าคงเป็นมาแต่แรกเพราะห่อบับเบิ้ลมาไม่น่าจะมีรอยอะไรได้เพราะห่อมาหนา คุณภาพตามราคาเลย
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-03-28,00:06,0,3,2023-03-28 00:06
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-03-04,10:21,0,3,", คุณภาพสินค้าตามราคาไม่ได้ดีมากหากอยากใช้ให้ซื้อคุณภาพที่สูงกว่านี้เพราะอันนี้ใช้ไปได้แค่ครั้งถึง 2 ครั้งเองพกไปแค่ 1 ทริปเท่านั้นแล้วเกลียวที่ขาด้านล่างมันหวานไม่สามารถล็อคขาตั้งกล้องได้เลยทำให้ราคาในการใช้ต่อครั้งไม่คุ้มค่าแนะนำอย่าเสี่ยงให้ซื้ออันที่มีราคาดีกว่านี้และอีกข้อคือเกลียวต้องตั้งบิดใหม่ตลอดเวลาเวลาพกพาไม่ใช่แบบตั้งอย่างรวดเร็ว"
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-02-05,17:17,0,3,สินค้าพอใช้ได้ วัสดุไม่ได้แข็งแรงมาก แต่ก็คงพอใช้งานได้สักระยะหนึ่ง ต้องลองใช้งานดูก่อนค่ะ ถ้าโอเคก็คงใช้ต่อเรื่อยๆ ตามนี้ค่ะ
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-01-29,07:17,0,3,2023-01-29 07:17
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-02-05,16:02,0,3,ซื้อมายังไม่ลองใช้เลยไม่รู้ดีไหม แต่ในราคาเท่านี้ก็ถือว่าโอเคในระดับหนึ่ง ติดตรงที่มีขนาดใหญ่ไปพกพาไม่สะดวกถ้าใครชอบแบบพกพาง่ายไม่แนะนำเพราะมันยาว
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-04-01,12:04,0,1,สินค้าไม่ค่อยดีเท่าไหร่
1,https://shopee.co.th/UPick1-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-%EF%BC%88%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-210cm-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-72cm-)-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B8%97%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%97%E0%B8%B9%E0%B8%98-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99Tripod-i.119241309.5161419808?sp_atk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135&xptdk=a1b2bfb8-ded8-46d4-a373-c3c3d972a135,"UPick1 ชุดขาตั้งกล้องเซลฟี่ （ปรับได้สูงสุด 210cm, ขั้นต่ำ 72cm ) + รีโมทบลูทูธ หัวต่อมือถือ รุ่นTripod",4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,22100,2023-01-20,15:00,0,1,"สินค้าเสียหายเหล็กบุบ ขาตั้งติด ไม่สามารถดึงออกกางได้1 ขา 
เหล็กมันติดข้างใน

เเต่เเพ็คของมาค่อยข้างดี เลย กล่องไม่ไม่พังห่อมาดีมาก ใช้คำว่าเเพ็คดีเลย  คิดว่าของน่าจะพังมาก่อนห่อมา 😖"
3,https://shopee.co.th/-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B9%82%E0%B8%84%E0%B9%89%E0%B8%94-DFENS333-%E0%B8%A5%E0%B8%94-15-%F0%9F%94%A5%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8B%E0%B8%A5%E0%B8%9F%E0%B8%B5%E0%B9%88-LIVE-%E0%B8%AA%E0%B8%94-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%9F%E0%B9%84%E0%B8%A5%E0%B8%9F%E0%B9%8C%E0%B8%AA%E0%B8%94-%E0%B8%AA%E0%B8%B9%E0%B8%87-210CM-%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%873%E0%B8%82%E0%B8%B2-i.131123580.16006491640?sp_atk=1f927493-dd89-4efc-b0f6-1f3415f27ea9&xptdk=1f927493-dd89-4efc-b0f6-1f3415f27ea9,{ใส่โค้ด DFENS333 ลด 15%}🔥ชุดขาตั้งกล้องเซลฟี่ LIVE สด ที่จับกล้องมือถือ ขาตั้งไฟไลฟ์สด สูง 210CM ขาตั้งกล้อง3ขา,4.8,ขาตั้งกล้องมือถือ,Cameras,Camera Accessories,Tripods and Monopods,4200,2023-01-21,21:19,4,5,"ลองสั่งมาใช้ครั้งแรก ใช้งานได้ดี เหมาะสำหรับเวลาอยู่คย้ดีบวแล้วอยากถ่ายรูปตามอิริยาบทต่างๆ หรือจะเป็นรีวิวสินค้าก็ดี
ปล.ร้านนี้ส่งสินค้าไวนะคะทหีบห่อแน่นหนา ถ้าสนใจอย่ารอช้าหยิบใส่ตะกร้าเลยจ้าาาาาา"
