products,product_url,product_name,overall_rate,cat,cat_1,cat_2,cat_3,favorite,date,timing,num_like,review_stars,comment
1,https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94-pencil-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%AA%E0%B9%84%E0%B8%95%E0%B8%A5%E0%B8%B1%E0%B8%AA-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%88%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%8A%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99-Stylus-Pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Gen10-9-8-7-6-Air5-Air4-Air3-Mini6-5-i.590209711.17824726387?sp_atk=76d7c697-9ba8-457e-b5e4-a22079170719&xptdk=76d7c697-9ba8-457e-b5e4-a22079170719,"[ใหม่ล่าสุด pencil] ปากกาสไตลัส วางมือบนจอ+แรเงาได้ ปากกาทัชสกรีน Stylus Pen สำหรับ Gen10,9,8,7,6 Air5 Air4 Air3 Mini6,5",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,22800,2023-02-19,21:59,0,4,"สินค้าใช้งานได้ดีครับ ชอบมากโดยรวมถือว่าสภาพดี
มากๆ ความเร็วในการจัดส่งก็เรียกได้ว่าส่งไวตามปกติ 
ไว้คราวหน้าจะอุดหนุนอีกครับ"
1,https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94-pencil-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%AA%E0%B9%84%E0%B8%95%E0%B8%A5%E0%B8%B1%E0%B8%AA-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%88%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%8A%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99-Stylus-Pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Gen10-9-8-7-6-Air5-Air4-Air3-Mini6-5-i.590209711.17824726387?sp_atk=76d7c697-9ba8-457e-b5e4-a22079170719&xptdk=76d7c697-9ba8-457e-b5e4-a22079170719,"[ใหม่ล่าสุด pencil] ปากกาสไตลัส วางมือบนจอ+แรเงาได้ ปากกาทัชสกรีน Stylus Pen สำหรับ Gen10,9,8,7,6 Air5 Air4 Air3 Mini6,5",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,22800,2023-02-16,20:40,0,4,2023-02-16 20:40
1,https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94-pencil-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%AA%E0%B9%84%E0%B8%95%E0%B8%A5%E0%B8%B1%E0%B8%AA-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%88%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%8A%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99-Stylus-Pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Gen10-9-8-7-6-Air5-Air4-Air3-Mini6-5-i.590209711.17824726387?sp_atk=76d7c697-9ba8-457e-b5e4-a22079170719&xptdk=76d7c697-9ba8-457e-b5e4-a22079170719,"[ใหม่ล่าสุด pencil] ปากกาสไตลัส วางมือบนจอ+แรเงาได้ ปากกาทัชสกรีน Stylus Pen สำหรับ Gen10,9,8,7,6 Air5 Air4 Air3 Mini6,5",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,22800,2023-01-30,13:59,0,4,สินค้าสามารถใช้งานได้ปกติ เขียนลื่น ใช้งานง่าย คุ้มค่า คุ้มราคาสุดๆ แต่ตัวเปิด-ปิด ค่อนข้างไวต่อการสัมผัส   ใช้ดีสมราคา
1,https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94-pencil-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%AA%E0%B9%84%E0%B8%95%E0%B8%A5%E0%B8%B1%E0%B8%AA-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%88%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%8A%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99-Stylus-Pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Gen10-9-8-7-6-Air5-Air4-Air3-Mini6-5-i.590209711.17824726387?sp_atk=76d7c697-9ba8-457e-b5e4-a22079170719&xptdk=76d7c697-9ba8-457e-b5e4-a22079170719,"[ใหม่ล่าสุด pencil] ปากกาสไตลัส วางมือบนจอ+แรเงาได้ ปากกาทัชสกรีน Stylus Pen สำหรับ Gen10,9,8,7,6 Air5 Air4 Air3 Mini6,5",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,22800,2023-04-05,10:21,0,3,    
1,https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94-pencil-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%AA%E0%B9%84%E0%B8%95%E0%B8%A5%E0%B8%B1%E0%B8%AA-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%88%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%8A%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99-Stylus-Pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Gen10-9-8-7-6-Air5-Air4-Air3-Mini6-5-i.590209711.17824726387?sp_atk=76d7c697-9ba8-457e-b5e4-a22079170719&xptdk=76d7c697-9ba8-457e-b5e4-a22079170719,"[ใหม่ล่าสุด pencil] ปากกาสไตลัส วางมือบนจอ+แรเงาได้ ปากกาทัชสกรีน Stylus Pen สำหรับ Gen10,9,8,7,6 Air5 Air4 Air3 Mini6,5",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,22800,2023-03-20,22:07,0,3,2023-03-20 22:07
1,https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94-pencil-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%AA%E0%B9%84%E0%B8%95%E0%B8%A5%E0%B8%B1%E0%B8%AA-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%88%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%8A%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99-Stylus-Pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Gen10-9-8-7-6-Air5-Air4-Air3-Mini6-5-i.590209711.17824726387?sp_atk=76d7c697-9ba8-457e-b5e4-a22079170719&xptdk=76d7c697-9ba8-457e-b5e4-a22079170719,"[ใหม่ล่าสุด pencil] ปากกาสไตลัส วางมือบนจอ+แรเงาได้ ปากกาทัชสกรีน Stylus Pen สำหรับ Gen10,9,8,7,6 Air5 Air4 Air3 Mini6,5",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,22800,2023-01-01,23:05,3,1,ส่งของคืนแต่ยังไม่ได้ของคืน
2,https://shopee.co.th/-%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99-24-%E0%B8%8A%E0%B8%A1-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B9%81%E0%B8%9E%E0%B8%94-gen10-gen9-8-7-6-Air5-4-3-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-stylus-pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-pencil-Air5(2018-2022)-Pro11-i.648514774.10496386244?sp_atk=b67b5be4-555e-4c1e-a875-233f38b0b1ea&xptdk=b67b5be4-555e-4c1e-a875-233f38b0b1ea,"[จัดส่งภายใน 24 ชม] ปากกาไอแพด gen10 gen9,8,7,6 Air5,4,3 วางมือ+แรเงาได้ stylus pen สำหรับ pencil Air5(2018-2022) Pro11",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,4200,2023-02-24,22:00,0,5,ขนส่งรวดเร็วสินค้ามีคุณภาพสมกับราคาสามารถนำมาใช้งานได้ไม่มีปัญหาโอกาสหน้าจะอุดหนุนใหม่ค่ะสินค้าใช้ดีขอบคุณครับ
2,https://shopee.co.th/-%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99-24-%E0%B8%8A%E0%B8%A1-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B9%81%E0%B8%9E%E0%B8%94-gen10-gen9-8-7-6-Air5-4-3-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-stylus-pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-pencil-Air5(2018-2022)-Pro11-i.648514774.10496386244?sp_atk=b67b5be4-555e-4c1e-a875-233f38b0b1ea&xptdk=b67b5be4-555e-4c1e-a875-233f38b0b1ea,"[จัดส่งภายใน 24 ชม] ปากกาไอแพด gen10 gen9,8,7,6 Air5,4,3 วางมือ+แรเงาได้ stylus pen สำหรับ pencil Air5(2018-2022) Pro11",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,4200,2023-02-14,18:43,0,5,2023-02-14 18:43
2,https://shopee.co.th/-%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99-24-%E0%B8%8A%E0%B8%A1-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B9%81%E0%B8%9E%E0%B8%94-gen10-gen9-8-7-6-Air5-4-3-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-stylus-pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-pencil-Air5(2018-2022)-Pro11-i.648514774.10496386244?sp_atk=b67b5be4-555e-4c1e-a875-233f38b0b1ea&xptdk=b67b5be4-555e-4c1e-a875-233f38b0b1ea,"[จัดส่งภายใน 24 ชม] ปากกาไอแพด gen10 gen9,8,7,6 Air5,4,3 วางมือ+แรเงาได้ stylus pen สำหรับ pencil Air5(2018-2022) Pro11",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,4200,2023-02-09,08:57,0,5,ได้ของเร็วมากค่ะ สินค้าแพ็คมาเรียบร้อย เป็นของใหม่ค่ะ มีห่อบับเบิ้ลให้ด้วย ยังไม่ได้ทดลองใช้ แต่กดเปิดปิดได้ ไฟขึ้นปกติ ยังไม่ได้ทดลองชาร์จไฟ แต่น่าจะไม่มีปัญหาค่ะ 😊
2,https://shopee.co.th/-%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99-24-%E0%B8%8A%E0%B8%A1-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B9%81%E0%B8%9E%E0%B8%94-gen10-gen9-8-7-6-Air5-4-3-%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-%E0%B9%81%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-stylus-pen-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-pencil-Air5(2018-2022)-Pro11-i.648514774.10496386244?sp_atk=b67b5be4-555e-4c1e-a875-233f38b0b1ea&xptdk=b67b5be4-555e-4c1e-a875-233f38b0b1ea,"[จัดส่งภายใน 24 ชม] ปากกาไอแพด gen10 gen9,8,7,6 Air5,4,3 วางมือ+แรเงาได้ stylus pen สำหรับ pencil Air5(2018-2022) Pro11",4.9,ปากกาสไตลัส,Mobile & Gadgets,Mobile Accessories,Stylus,4200,2023-01-16,18:47,0,4,ประสิทธิภาพ: ดีดูแข็งแรง น่าจะใช้ได้นาน
